9001,WeatherStations
9002,The weather monitor shall accept readings from valid WeatherStations.
9003,Road temperature readings shall be recorded.
9004, Air temperature readings shall be recorded.
9005,Humidity readings shall be recorded.
9006,Precipitation readings shall be recorded.
9007,Weather forecast update
9010,Weather forecasts data history shall be recorded.
9011,Historical forecast data shall be retrieved as needed.
9012,Weather forecasts shall be updated as received by the weather bureau.
9013,All weather data shall be validated on receipt
9014,Data received from WeatherStations shall be updated regularly
9015,Data received from road sensors shall be validated by road engineers
9016,Data received from the road sensors shall be updated regularly
9017,De-icing scheduling
9018,De-icing shall not be scheduled further than two days in advance.
9019,A warning shall be issued if the scheduled de-icing date is further than one day in the future.
9020,The scheduled de-icing shall be for a valid district.
9021,The scheduler shall accept a valid district identifier.
9022,Thermal map readings shall be recorded.
9023,The system shall predict areas of the district for which it is predicted to freeze
9024,Road sections passing through areas that are predicted to freeze shall be identified.
9025,Product shall maintain road condition status.
9026,A road sections list shall be maintained.
9027,A road  network list shall be maintained.
9028,Product shall determine when the road sections will freeze.
9029,Road compositions details shall be stored for each road type composition in the district.
9030,Conditions under which each road type composition freezes shall be maintained.
9031,A list of potential contact services shall be maintained for the selected district.
9033,The system shall analyze the weather data and road conditions in order to determine driving conditions.
9034,Alerts shall be issued when hazardous driving conditions exist.
9036,A schedule shall be maintained showing the de-icing treatments for each district.
9039,Untreated road reminder
9040,The system shall report on untreated roads that were not treated as scheduled.
9041,All scheduled treatments within the next four hours shall be displayed upon request.
9042,The system shall provide a list of contact services.
9043,Primary personnel shall be maintained on alert status.
9044,Truck Management
9045,A list of trucks in the fleet shall be maintained.
9046,Truck capabilities shall be maintained for each type of truck.
9047,The WorkOrder shall specify the correct amount of de-icing material needed to de-ice the scheduled road sections.
9049,Product shall be able to track truck location.
9050,The system shall match the dispatched truck capability to selected road characteristics.
9051,The system shall display a map of the district.
9052,Product shall determine number of trucks needed for a given schedule.
9054,An alert shall be issued if a WeatherStation fails to transmit readings
9058,An alert shall be issued if a dispatched truck breaks down.
9060,The truck list shall be updated when trucks are added to the fleet.
9061,Truck records shall be updated regularly.
9062,The inventory status of all de-icing materials shall be updated regularly.
9063,System maintenance
9064,The system shall be maintained on a regular schedule.
9065,An alert shall be issued for maintenance scheduling time.
9066,Users shall not be able to access a main server while  maintenance is in progress
9067,Product shall produce report status for the selected data
9068,Product shall produce maintenance log
9069,Product shall maintain backup server
9070,Weather data shall be stored in secondary storage.
9071,Inventory records shall be stored in secondary storage
9072,WorkOrder data shall be stored in secondary storage.
9073,The system shall not allow partial transmission of weather data
9074,The system shall handle all exceptions.
9075,The system shall be protected by a virus filter
9076,Security
9077,Only authorized users shall access the system.
9082,A list of authorized users shall be maintained.
9083,Users shall be authenticated via a valid password and user name combination
9084,Authorized access shall support three levels of security.
9087,The map shall be updated when changes are made to the physical roads.
9092,Road maps shall be updated regularly.
9094,Road maps shall be validated by road engineers
9095,Usability
9096,Reports shall comply with standard style sheets.
9097,Online help shall be provided.
9098,Online tutorial shall be provided.
9099,All screens shall comply with standardized look-and-feel style sheets.
9100,"The system's interface shall minimize text input from a user by using drop-down menus, radio buttons, etc."
9101,System specifications
9102,The system shall provide access to multiple users.
9105,All transactions shall be atomic.
9106,A WeatherStation shall be validated through its unique WeatherStation identifier.
9107,WeatherStations shall be added to the system.
