PS1.1.1.1,Process Traffic Sensor Data
PS1.1.1.1,Process Traffic Sensor Data
PS1.1.1.2,Collect and Process Sensor Fault Data
PS1.1.1.3,Process Environmental Sensor Data
PS1.1.1.4,Manage Data Collection and Monitoring
PS1.1.2.1,Process Traffic Data for Storage
PS1.1.2.2,Process Traffic Data
PS1.1.2.3,Update Data Source Static Data
PS1.1.2.4,Monitor HOV lane use
PS1.1.2.5,Process Tag/AVL Data for Link Time Data
PS1.1.2.6,Process Collected Vehicle Smart Probe Data
PS1.1.2.7,Monitor Reversible Lanes
PS1.1.3,Generate Predictive Traffic Model
PS1.1.4.1,Retrieve Traffic Data
PS1.1.4.2,Provide Traffic Operations Personnel Traffic Data Interface
PS1.1.4.3,Provide Direct Media Traffic Data Interface
PS1.1.4.4,Update Traffic Display Map Data
PS1.1.4.5,Provide Media System Traffic Data Interface
PS1.1.4.6,Provide Traffic Data Retrieval Interface
PS1.1.4.7,Manage Traffic Archive Data
PS1.1.5,Exchange data with Other Traffic Centers
PS1.1.6,Collect Vehicle Tag Data for Link Time Calculations
PS1.1.7,Collect Vehicle Smart Probe Data
PS1.2.1,Select Strategy
PS1.2.2.1,Determine Indicator State for Freeway Management
PS1.2.2.2,Determine Indicator State for Road Management
PS1.2.3,Determine Ramp State
PS1.2.4.1,Output Control Data for Roads
PS1.2.4.2,Output Control Data for Freeways
PS1.2.4.3,Output In-vehicle Signage Data
PS1.2.5.1,Determine Parking Lot State
PS1.2.5.2,Coordinate Other Parking Data
PS1.2.5.3,Provide Parking Lot Operator Interface
PS1.2.5.4,Determine P+R needs for Transit Management
PS1.2.5.5,Manage Parking Archive Data
PS1.2.5.6,Calculate Parking Lot Occupancy
PS1.2.6.1,Maintain Traffic and Sensor Static Data
PS1.2.6.2,Provide Static Data Store Output Interface
PS1.2.7.1,Process Indicator Output Data for Roads
PS1.2.7.2,Monitor Roadside Equipment Operation for Faults
PS1.2.7.3,Manage Indicator Preemptions
PS1.2.7.4,Process In-vehicle Signage Data
PS1.2.7.5,Process Indicator Output Data for Freeways
PS1.2.7.6,Provide Intersection Collision Avoidance Data
PS1.2.7.7,Process Vehicle Smart Probe Data for Output
PS1.2.8.1,Collect Indicator Fault Data
PS1.2.8.2,Maintain Indicator Fault Data Store
PS1.2.8.3,Provide Indicator Fault Interface for C and M
PS1.2.8.4,Provide Traffic Operations Personnel Indicator Fault Interface
PS1.3.1.1,Analyze Traffic Data for Incidents
PS1.3.1.2,Maintain Static Data for Incident Management
PS1.3.1.3,Process Traffic Images
PS1.3.2.1,Store Possible Incident Data
PS1.3.2.2,Review and Classify Possible Incidents
PS1.3.2.3,Review and Classify Planned Events
PS1.3.2.4,Provide Planned Events Store Interface
PS1.3.2.5,Provide Current Incidents Store Interface
PS1.3.3,Respond to Current Incidents
PS1.3.4.1,Retrieve Incident Data
PS1.3.4.2,Provide Traffic Operations Personnel Incident Data Interface
PS1.3.4.3,Provide Media Incident Data Interface
PS1.3.4.4,Update Incident Display Map Data
PS1.3.4.5,Manage Resources for Incidents
PS1.3.5,Manage Possible Predetermined Responses Store
PS1.3.6,Manage Predetermined Incident Response Data
PS1.3.7,Analyze Incident Response Log
PS1.4.1,Provide Traffic Operations Personnel Demand Interface
PS1.4.2,Collect Demand Forecast Data
PS1.4.3,Update Demand Display Map Data
PS1.4.4,Implement Demand Management Policy
PS1.4.5,Calculate Forecast Demand
PS1.5.1,Provide Traffic Operations Personnel Pollution Data Interface
PS1.5.2,Process Pollution Data
PS1.5.3,Update Pollution Display Map Data
PS1.5.4,Manage Pollution State Data Store
PS1.5.5,Process Vehicle Pollution Data
PS1.5.6,Detect Roadside Pollution Levels
PS1.5.8,Manage Parking Lot Financial Processing
PS1.5.8,Manage Parking Lot Financial Processing
PS1.5.8,Update Parking Lot Data
PS1.5.8,Update Parking Lot Data
PS1.5.8,Update Parking Lot Data
PS1.5.8,Update Parking Lot Data
PS1.5.8,Update Parking Lot Data
PS1.5.9,Register for Advanced Parking Lot Payment
PS1.5.9,Register for Advanced Parking Lot Payment
PS1.5.9,Register for Advanced Parking Lot Payment
PS1.5.9,Register for Advanced Parking Lot Payment
PS1.5.9,Register for Advanced Parking Lot Payment
PS1.5.9,Register for Advanced Parking Lot Payment
